Book_name,Book_link,Book_stock_availability,Book_price,Book_UPC,Book_Tax,Book_number_of_reviews,Category,Category_link,Book_description
A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,In stock,£51.77,a897fe39b1053632,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry an
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,In stock,£53.74,90fa61229261140a,£0.00,0,Historical Fiction,http://books.toscrape.com/category/books/historical-fiction_4/index.html,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, "
Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html,In stock,£50.10,6957f44c3847a760,£0.00,0,Fiction,http://books.toscrape.com/category/books/fiction_10/index.html,"Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu mot"
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,In stock,£47.82,e00eb4fd7b871a48,£0.00,0,Mystery,http://books.toscrape.com/category/books/mystery_3/index.html,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preak"
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,In stock,£54.23,4165285e1663650f,£0.00,0,History,http://books.toscrape.com/category/books/history_32/index.html,From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,In stock,£22.65,f77dbf2323deb740,£0.00,0,Young Adult,http://books.toscrape.com/category/books/young-adult_21/index.html,Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is end
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,In stock,£33.34,2597b5a345f45e1b,£0.00,0,Business,http://books.toscrape.com/category/books/business_35/index.html,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring s"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,In stock,£17.93,e72a5dfc7e9267b2,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love "
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,In stock,£22.60,e10e1e165dc8be4a,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowi"
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,In stock,£52.15,1dfe412b8ac00530,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,"Praise for Aracelis Girmay:""[Girmay's] every loss—she calls them estrangements—is a yearning for co"
"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,In stock,£13.99,0312262ecafa5a40,£0.00,0,Default,http://books.toscrape.com/category/books/default_15/index.html,"Since her assault, Miss Annette Chetwynd has been plagued by nightmares and worries about an arrang"
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,In stock,£20.66,30a7f60cd76ca58c,£0.00,0,Poetry,http://books.toscrape.com/category/books/poetry_23/index.html,This book is an important and complete collection of the Sonnets of William Shakespeare. Most reade
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html,In stock,£17.46,ce6396b0f23f6ecc,£0.00,0,Young Adult,http://books.toscrape.com/category/books/young-adult_21/index.html,"Aaron Ledbetter’s future had been planned out for him since before he was born. Each year, the Ledb"
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock,£52.29,3b1c02bac2a429e6,£0.00,0,Sequential Art,http://books.toscrape.com/category/books/sequential-art_5/index.html,"Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's ""between jobs"" a"
